wikipedia|born|institution|field|almamater|doctoraladvisor|contributions|awards|website|nationality|education|fields|institutions|doctoralstudents|influenced|schoolortradition|influences|knownfor|occupation|academicbackground|academicwork|yearsactive|spouses|chinesename|traditionalchinese|simplifiedchinese|transcriptions|standardmandarin|hanyupinyin|citizenship|academicadvisors|politicalparty|employer|thesis|died|parents|children|doctoraladvisors|causeofdeath|restingplace|othernames|partners|notablework|agent|authorabbrevbotany|notablestudents|notableworks|title|discipline|subdiscipline|organization|relatives|majorcompetitions|notes|allegiance|servicebranch|serviceyears|rank|codename|othernotablestudents|height|boardmemberof|department|notablecredits|personal|religion|denomination|synagogue|yeshiva|semicha|koreanname|hangul|hanja|revisedromanization|mccunereischauer|maininterests|predecessor|successor|networth|criminalstatus|criminalcharge|penalty|timeatlarge|details|date|locations|targets|killed|weapons|dateapprehended|genres|instruments|honours|school|lineage|dharmanames|temple|seniorposting|teacher|periodinoffice|patrons|region|chinese|otheracademicadvisors|movement|youtubeinformation|channel|location|genre|subscribers|totalviews|yuecantonese|jyutping|labels|employers|basedin|alsoknownas|areas|pseudonyms|era|signature|residence|ringnames|billedheight|billedweight|billedfrom|trainedby|debut|status|nasaastronaut|timeinspace|selection|totalevas|totalevatime|missions|missioninsignia|notableideas|origin|associatedacts|criminalcharges|haircolor|eyecolor|cnsaastronaut|organisation|personalinformation|hometown|television
Aaron_Edlin||['University of California, Berkeley']|['Antitrust']|['Princeton University', 'Stanford University']|||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aaron_Siskind|[]||||||||||||||||['Photography']|||||||||||||||||['Providence, Rhode Island']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Abhijit_Banerjee|['Bombay', 'Maharashtra', 'India']|['Massachusetts Institute of Technology', 'Harvard University', 'Princeton University']|['Development economics', 'Social economics']|['University of Calcutta', 'Bachelor of Science', 'Jawaharlal Nehru University', 'M.A.', 'Harvard University', 'PhD']|['Eric Maskin']|['Abdul Latif Jameel Poverty Action Lab']|['Nobel Memorial Prize in Economic Sciences']||||||['Esther Duflo', None, 'Dean Karlan', None, 'Benjamin Jones (economist)', None, 'Nancy Qian', None]|||||||||['Esther Duflo']|||||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Abhijit_Chowdhury|||||||||['India']|||||||||['Film Director', 'Script Writer']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Abhiroop_Mukhopadhyay|[]|['Indian Statistical Institute']|[]|['Pennsylvania State University', 'Delhi School of Economics']|||||['India']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Abraham_Holland||||||||||||||||||||||||||||||||||[]|['Philemon Holland']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Adam_Copeland|['Orangeville, Ontario']|||['Humber College']||||||||||||||[]|||[]|['Beth Phoenix']||||||||||||||[]|||||||||||||||['Sean Morley']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||['Asheville, North Carolina']|['Ring name', None, None, 'Los Conquistadores', None, None, None, None]|[None]|[None]|['Toronto', 'Ontario', None]|['Ron Hutchison', None, 'Sweet Daddy Siki', None]|[None]|||||||||||||||||||
Adele_Morris|[]|||||||||['Art History', 'Rice University', 'Mathematics', 'University of Utah', 'Economics', 'Princeton University']||||||||[]||||[]||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ajay_Agrawal|['Vancouver']|||[]||[]||[None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Akihiko_Matsui|['Tokyo', 'Japan']|['University of Tokyo', 'University of Tsukuba', 'University of Pennsylvania', 'VCASI (page does not exist)']|['Game Theory', 'Information Economics', 'Monetary theory']|['University of Tokyo', 'Bachelor of Arts', 'Northwestern University', 'Doctor of Philosophy']|['Itzhak Gilboa', None]||['Nakahara Prize']||['Japan']|||||||['Masahiro Okuno-Fujiwara (page does not exist)']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
